"Issuer","Reference","N# number (with link)","Title","Year","Gregorian year","Mintmark","Marks","References","Comment","Quantity","For exchange","Grade","From set","Buying price (USD)","Estimate (USD)","Private comment","Public comment"
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1926","1926","D","","PCGS# 5756,5757, Greysheet# 5591,5592","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1927","1927","","","PCGS# 5760,5761, Greysheet# 5555,5556","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1927","1927","D","","PCGS# 5762,5763, Greysheet# 5595,5596","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1928","1928","S","","PCGS# 5770,5771, Greysheet# 5601,5602","Large ""S""","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1930","1930","","","PCGS# 5778,5779, Greysheet# 5561,5562","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1930","1930","S","","PCGS# 5780,5781, Greysheet# 5607,5608","","1","TRUE","","","","","",""
"United States","KM# 372a","N# 14879","¼ Dollar ""Washington Quarter"" (Oregon - Silver Proof)","2005","2005","S","","PCGS# 913062, Greysheet# 15367","Proof","1","TRUE","UNC","","","14.58","",""
"United States","KM# 671a","N# 131851","¼ Dollar ""Washington Quarter"" (Voyageurs National Park, Minnesota) - Silver Proof","2018","2018","S","","","Proof","1","TRUE","UNC","","","17.18","",""
"United States","KM# 703a","N# 155677","¼ Dollar ""Washington Quarter"" (San Antonio Missions National Historical Park, Texas)","2019","2019","S","","PCGS# 705716, Greysheet# 82031","Proof","1","TRUE","UNC","","","19.59","",""
"United States","KM# 37","N# 10637","50 Cents / ½ Dollar ""Capped Bust Half Dollar""","1830","1830","","","","small letters","1","TRUE","","","","","",""
"United States","KM# A99","N# 15175","½ Dollar ""Seated Liberty Half Dollar"" (without date arrows; with motto)","1875","1875","","","PCGS# 6349","","1","TRUE","G","","","57.88","",""
"United States","KM# A99","N# 15175","½ Dollar ""Seated Liberty Half Dollar"" (without date arrows; with motto)","1877","1877","S","","PCGS# 6357","","1","TRUE","VF","","","","",""
"United States","KM# 117","N# 4396","½ Dollar (Columbian Exposition)","1893","1893","","","PCGS# 9297, Greysheet# 10303","","1","TRUE","UNC","","","54.09","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1899","1899","","","PCGS# 6483","","1","TRUE","VG","","","36.63","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1900","1900","","","PCGS# 6486","","1","TRUE","VG","","","39.58","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1902","1902","O","","PCGS# 6493","","1","TRUE","VG","","","46.56","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1903","1903","S","","PCGS# 6497","","2","TRUE","VG","","","44.58","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1909","1909","","","PCGS# 6516","","1","TRUE","VG","","","32.27","",""
"United States","KM# 116","N# 10085","½ Dollar ""Barber Half Dollar""","1912","1912","D","","PCGS# 6525","","1","TRUE","VF","","","41.88","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1917","1917","S","","PCGS# 6572","S on obverse","1","TRUE","G","","","47.51","","PCGS AG03"
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1918","1918","S","","PCGS# 6576","","1","TRUE","","","","","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1919","1919","D","","PCGS# 6578","","1","TRUE","","","","","","NGC AG03"
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1929","1929","S","","PCGS# 6590","","1","TRUE","F","","","30.21","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1934","1934","D","","PCGS# 6593","","1","TRUE","F","","","26.56","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1935","1935","D","","PCGS# 6596","","1","TRUE","VF","","","39.7","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1936","1936","","","PCGS# 6598","","1","TRUE","F","","","28.1","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1943","1943","","","PCGS# 6618","","1","TRUE","UNC","","","57.65","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1945","1945","S","","PCGS# 6626","","1","TRUE","UNC","","","83.23","",""
"United States","KM# 142","N# 4455","½ Dollar ""Walking Liberty Half Dollar""","1946","1946","","","PCGS# 6627","","1","TRUE","UNC","","","48.33","",""
"United States","KM# 165","N# 51959","½ Dollar (Boone Bicentennial)","1936","1936","","","PCGS# 9266, Greysheet# 10252","KM# 165.2 (1934 added above PIONEER on obverse)","1","TRUE","UNC","","","169.05","","PCGS MS64"
"United States","KM# 199","N# 2835","½ Dollar ""Franklin Half Dollar""","1949","1949","","","PCGS# 6653","","1","TRUE","UNC","","","55.51","",""
"United States","KM# 199","N# 2835","½ Dollar ""Franklin Half Dollar""","1955","1955","","","PCGS# 6670","","1","TRUE","UNC","","","43.92","","NGC MS 64 FBL"
"United States","KM# 199","N# 2835","½ Dollar ""Franklin Half Dollar""","1961","1961","","","PCGS# 6680","Type 1 reverse","1","TRUE","UNC","","","36.28","",""
"United States","KM# 208","N# 4403","½ Dollar (George Washington)","1982","1982","D","","PCGS# 9600, Greysheet# 10409","","2","TRUE","UNC","","","30.2","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1878","1878","","","","2nd reverse","1","TRUE","G","","","53.89","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1878","1878","CC","","PCGS# 7080","","1","TRUE","","","","","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1878","1878","S","","PCGS# 7082","","1","TRUE","UNC","","","137.42","","Lamination on Liberty's face"
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1879","1879","O","","","","1","TRUE","UNC","","","141.81","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1884","1884","O","","PCGS# 7154","","1","TRUE","UNC","","","106.99","","NGC MS 64 "
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1884","1884","O","","PCGS# 7154","","1","TRUE","UNC","","","106.99","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1887","1887","","","PCGS# 7172","","1","TRUE","UNC","","","114.86","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1889","1889","O","","PCGS# 7192","","1","TRUE","F","","","69.44","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1889","1889","O","","PCGS# 7192","","1","TRUE","F","","","69.44","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1890","1890","S","","PCGS# 7202","","1","TRUE","UNC","","","117.12","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1892","1892","S","","PCGS# 7218","","1","TRUE","G","","","56.39","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1896","1896","","","PCGS# 7240","","1","TRUE","UNC","","","100.96","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1896","1896","O","","PCGS# 7242","","1","TRUE","F","","","63.29","","graffiti"
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","","","PCGS# 7296","","1","TRUE","UNC","","","90.15","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","","","PCGS# 7296","","1","TRUE","F","","","58.22","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","D","","PCGS# 7298","","1","TRUE","AU","","","70.02","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","S","","PCGS# 7300,87300","","1","TRUE","AU","","","64.59","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","S","","PCGS# 7300,87300","","1","TRUE","XF","","","64.59","",""
"United States","KM# 110","N# 1492","1 Dollar ""Morgan Dollar""","1921","1921","S","","PCGS# 7300,87300","","1","TRUE","VF","","","64.59","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1922","1922","","","PCGS# 7357","normal relief; see comments","3","TRUE","VF","","","62.9","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1922","1922","","","PCGS# 7357","normal relief; see comments","1","TRUE","F","","","53.83","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1922","1922","D","","PCGS# 7358","","1","TRUE","VF","","","61.75","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1922","1922","S","","PCGS# 7359","","1","TRUE","VF","","","61.97","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1923","1923","D","","PCGS# 7361","","1","TRUE","XF","","","68.2","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1923","1923","S","","PCGS# 7362","","2","TRUE","VF","","","62.03","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1925","1925","","","PCGS# 7365","","1","TRUE","AU","","","81.02","",""
"United States","KM# 150","N# 5580","1 Dollar ""Peace Dollar""","1935","1935","S","","PCGS# 7379","two varieties; see comments","1","TRUE","VF","","","75.63","","4 rays"
"United States","KM# 249","N# 38462","1 Dollar (Birth of Thomas Jefferson)","1993","1993","P","","PCGS# 9688, Greysheet# 10479","","1","TRUE","UNC","","","59.39","","PCGS MS70"
"United States","KM# 401","N# 1491","1 Dollar (George Washington)","2007","2007","P","","PCGS# 148052","","1","TRUE","UNC","","","2.19","","NGC MS 65 First Day of Issue"
"United States","P# 115","N# 225315","10 Cents (""Fractional Currency"" - 4th series)","1863","1863","","","Fr US# 1257, P# 115","Large red seal; with watermark; pink silk fibers","1","TRUE","UNC","","","","",""
